en_fa,fr_fa,mode,sent,trans,trans_MBart,trans_NLLB,trans_ALIGN,POSent,BLEU_MBart,BLEU_NLLB,BLEU_ALIGN,Levenshtein_MBart,Levenshtein_NLLB,Levenshtein_ALIGN
Accomodate,Accomoder,EnFr,We cannot accomodate you at our hotel today.,Nous ne pouvons pas vous accueillir dans notre hôtel aujourd'hui.,Nous ne pouvons pas vous accueillir dans notre hôtel aujourd'hui.,Nous ne pouvons pas vous héberger dans notre hôtel aujourd'hui.,Nous ne pouvons pas vous accueillir à notre hôtel aujourd'hui.,mid,1.0,0.6580370064762462,0.6580370064762462,0.0,0.123076923076923,0.0615384615384615
Account,Accompte,EnFr,You have an empty account.,Vous avez un compte vide.,Vous avez un compte vide.,Vous avez un compte vide.,Vous avez un compte vide.,end,1.0,1.0,1.0,0.0,0.0,0.0
Actually,Actuellement,EnFr,This is actually the best place in the world.,C'est en fait le meilleur endroit du monde.,C'est en fait le meilleur endroit du monde.,C'est le meilleur endroit au monde.,C'est le meilleur endroit au monde.,mid,1.0,4.701927940386645e-78,4.701927940386645e-78,0.0,0.2093023255813953,0.2093023255813953
Affair,Affaires,EnFr,Her husband was having an affair.,Son mari avait une liaison.,Son mari avait une affaire.,Son mari avait une liaison.,Son mari avait une liaison.,end,0.668740304976422,1.0,1.0,0.2222222222222222,0.0,0.0
Agenda,Agenda,EnFr,That is exactly their agenda - they want to make us fear.,C'est exactement leur programme : ils veulent nous faire peur.,C'est exactement ce qui est à leur ordre du jour - ils veulent nous faire craindre.,C'est exactement leur but: nous faire peur.,C'est exactement leur ordre du jour - ils veulent nous faire peur.,mid,0.1892240568795935,5.501300737176583e-78,0.4240125351805037,0.3975903614457831,0.3548387096774194,0.1969696969696969
Arm,Arme,EnFr,"Arms crossed, he sat there.","Les bras croisés, il est resté assis.","Les bras croisés, il s'est installé là.","Les bras croisés, il était assis là.","Les bras croisés, il était assis là.",start,0.4111336169005197,0.4111336169005197,0.4111336169005197,0.282051282051282,0.2702702702702703,0.2702702702702703
Assist,Assister,EnFr,Worry not: I have come to assist you!,Ne vous inquiétez pas : je suis venu vous aider!,Ne vous inquiétez pas : je suis venu vous aider!,"Ne vous inquiétez pas, je suis venu vous aider.",Ne vous inquiétez pas: je suis venu vous aider!,end,1.0,0.3862752974508186,0.5341735956899847,0.0,0.0625,0.0208333333333333
Attend,Attendre,EnFr,Will you be attending the conference today?,Participez-vous à la conférence aujourd'hui?,Assistez-vous à la conférence aujourd'hui?,Participez-vous à la conférence aujourd'hui ?,Allez-vous assister à la conférence aujourd'hui ?,mid,0.668740304976422,0.5081327481546147,5.021333847570327e-78,0.1590909090909091,0.0222222222222222,0.3673469387755102
Advertisement,Avertissement,EnFr,This is an advertisement I will never forget...,C'est une publicité que je n'oublierai jamais...,C'est une annonce que je n'oublierai jamais...,C'est une annonce que je n'oublierai jamais.,C'est une publicité que je n'oublierai jamais...,mid,0.488923022434901,6.31399304153334e-78,1.0,0.1666666666666666,0.2083333333333333,0.0
Bless,Blesser,EnFr,"Bless you all, my friends!","Soyez tous bénis, mes amis!","Blessez-vous tous, mes amis!","Que Dieu vous bénisse, mes amis !","Bénissez-vous tous, mes amis !",start,7.422680762211792e-155,1.1200407237786665e-231,1.2183324802375696e-231,0.3928571428571428,0.3333333333333333,0.4333333333333333
Bra,Bras,EnFr,The bras in the store are on sale this week.,Les soutiens-gorge du magasin sont en vente cette semaine.,Les bras du magasin sont en vente cette semaine.,Les soutiens-gorge sont en vente cette semaine.,Les soutiens-gorge du magasin sont en vente cette semaine.,start,0.7506238537503395,0.5313746898412453,1.0,0.2241379310344827,0.1896551724137931,0.0
Car,Car,EnFr,She drove her car to work.,Elle se rendait au travail en voiture.,Elle a conduit sa voiture au travail.,Elle conduisait sa voiture au travail.,Elle a conduit sa voiture au travail.,end,1.331960397810445e-231,1.1717786915547329e-231,1.331960397810445e-231,0.6052631578947368,0.6578947368421053,0.6052631578947368
Casserole,Casserole,EnFr,She made a delicious casserole for dinner.,Elle a préparé un délicieux ragoût pour le dîner.,Elle a fait une délicieuse casserole pour le dîner.,Elle a fait une casserole délicieuse pour le dîner.,Elle a fait une délicieuse casserole pour le dîner.,end,5.072841446586652e-78,5.072841446586652e-78,5.072841446586652e-78,0.3137254901960784,0.4901960784313725,0.3137254901960784
Cave,Cave,EnFr,We explored a dark cave during our hike.,Nous avons exploré une grotte sombre au cours de notre randonnée.,Nous avons étudié une grotte noire pendant notre randonnée.,Nous avons exploré une grotte sombre pendant notre randonnée.,Nous avons exploré une grotte sombre pendant notre randonnée.,mid,8.445927186766123e-155,0.528993443482769,0.528993443482769,0.3076923076923077,0.1692307692307692,0.1692307692307692
Cent,Cent,EnFr,I found a cent on the sidewalk.,J'ai trouvé une pièce sur le trottoir.,J'ai trouvé un cent sur le trottoir.,J'ai trouvé un centime sur le trottoir.,J'ai trouvé un centime sur le trottoir.,mid,6.31399304153334e-78,6.31399304153334e-78,6.31399304153334e-78,0.1578947368421052,0.1538461538461538,0.1538461538461538
Chair,Chair,EnFr,The chair is very comfortable.,La chaise est très confortable.,La chaise est très confortable.,La chaise est très confortable.,La chaise est très confortable.,mid,1.0,1.0,1.0,0.0,0.0,0.0
Chips,Chips,EnFr,She loves to eat chips while watching movies.,Elle aime manger des frites en regardant des films.,Elle aime manger des frites en regardant des films.,Elle aime manger des chips en regardant des films.,Elle adore manger des chips en regardant des films.,mid,1.0,0.5969491792019646,0.3688939732334405,0.0,0.0784313725490196,0.1372549019607843
Christian,Christian,EnFr,He is a devoted Christian who goes to church every Sunday.,C'est un chrétien dévoué qui va à l'église tous les dimanches.,Il est un chrétien dévoué qui va à l'église chaque dimanche.,Il est un chrétien dévoué qui va à l'église tous les dimanches.,C'est un chrétien dévoué qui va à l'église tous les dimanches.,mid,0.5706745777055999,0.8070557274927982,1.0,0.1774193548387097,0.0476190476190476,0.0
Coin,Coin,EnFr,I found a rare coin in the attic.,J'ai trouvé une pièce rare dans le grenier.,J'ai trouvé une monnaie rare dans le sous-sol.,J'ai trouvé une pièce rare au grenier.,J'ai trouvé une pièce rare dans le grenier.,mid,7.508645449069235e-78,0.5578002860768766,1.0,0.3043478260869565,0.1395348837209302,0.0
College,Collège,EnFr,She plans to go to college next year.,Elle prévoit d'aller à l'université l'année prochaine.,Elle envisage d'aller à l'université l'année prochaine.,Elle prévoit d'aller à la fac l'année prochaine.,Elle prévoit d'aller à l'université l'année prochaine.,end,0.6434588841607617,0.4111336169005197,1.0,0.1454545454545454,0.2037037037037037,0.0
Command,Commander,EnFr,He took command of the situation immediately.,Il a immédiatement pris le contrôle de la situation.,Il a immédiatement pris le commandement de la situation.,Il a pris le contrôle de la situation immédiatement.,Il a immédiatement pris le commandement de la situation.,mid,0.5969491792019646,0.5133450480401704,0.5969491792019646,0.1607142857142857,0.5384615384615384,0.1607142857142857
